English,Punjabi
saath tayrai chalai naahee tis naal ki-o chit laa-ee-ai., swiQ qyrY clY nwhI iqsu nwil ikau icqu lweIAY ] 
aisaa kamm moolay na keechai jit ant pachhotaa-ee-ai., AYsw kMmu mUly n kIcY ijqu AMiq pCoqweIAY ] 
satguroo kaa updays sun too hovai tayrai naalay., siqgurU kw aupdysu suix qU hovY qyrY nwly ] 
kahai naanak man pi-aaray too sadaa sach samaalay. ||11||, khY nwnku mn ipAwry qU sdw scu smwly ]11] 
agam agocharaa tayraa ant na paa-i-aa., Agm Agocrw qyrw AMqu n pwieAw ] 
anto na paa-i-aa kinai tayraa aapnaa aap too jaanhay., AMqo n pwieAw iknY qyrw Awpxw Awpu qU jwxhy ] 
jee-a jant sabh khayl tayraa ki-aa ko aakh vakhaana-ay., jIA jMq siB Kylu qyrw ikAw ko AwiK vKwxey ] 
aakhahi ta vaykheh sabh toohai jin jagat upaa-i-aa., AwKih q vyKih sBu qUhY ijin jgqu aupwieAw ] 
kahai naanak too sadaa agamm hai tayraa ant na paa-i-aa. ||12||, khY nwnku qU sdw AgMmu hY qyrw AMqu n pwieAw ]12] 
sur nar mun jan amrit khojday so amrit gur tay paa-i-aa., suir nr muin jn AMimRqu Kojdy su AMimRqu gur qy pwieAw ] 
paa-i-aa amrit gur kirpaa keenee sachaa man vasaa-i-aa., pwieAw AMimRqu guir ik®pw kInI scw min vswieAw ] 
jee-a jant sabh tuDh upaa-ay ik vaykh parsan aa-i-aa., jIA jMq siB quDu aupwey ieik vyiK prsix AwieAw ] 
lab lobh ahaNkaar chookaa satguroo bhalaa bhaa-i-aa., lbu loBu AhMkwru cUkw siqgurU Blw BwieAw ] 
kahai naanak jis no aap tuthaa tin amrit gur tay paa-i-aa. ||13||, khY nwnku ijs no Awip quTw iqin AMimRqu gur qy pwieAw ]13] 
bhagtaa kee chaal niraalee., Bgqw kI cwl inrwlI ] 
chaalaa niraalee bhagtaah kayree bikham maarag chalnaa., cwlw inrwlI Bgqwh kyrI ibKm mwrig clxw ] 
lab lobh ahaNkaar taj tarisnaa bahut naahee bolnaa., lbu loBu AhMkwru qij iqRsnw bhuqu nwhI bolxw ] 
khanni-ahu tikhee vaalahu nikee ayt maarag jaanaa., KMinAhu iqKI vwlhu inkI eyqu mwrig jwxw ] 
gur parsaadee jinee aap taji-aa har vaasnaa samaanee., gur prswdI ijnI Awpu qijAw hir vwsnw smwxI ] 
kahai naanak chaal bhagtaa jugahu jug niraalee. ||14||, khY nwnku cwl Bgqw jughu jugu inrwlI ]14] 
ji-o too chalaa-ihi tiv chalah su-aamee hor ki-aa jaanaa gun tayray., ijau qU clwieih iqv clh suAwmI horu ikAw jwxw gux qyry ] 
jiv too chalaa-ihi tivai chalah jinaa maarag paavhay., ijv qU clwieih iqvY clh ijnw mwrig pwvhy ] 
kar kirpaa jin naam laa-ihi se har har sadaa Dhi-aavhay., kir ikrpw ijn nwim lwieih is hir hir sdw iDAwvhy ] 
jis no kathaa sunaa-ihi aapnee se gurdu-aarai sukh paavhay., ijs no kQw suxwieih AwpxI is gurduAwrY suKu pwvhy ] 
kahai naanak sachay saahib ji-o bhaavai tivai chalaavahay. ||15||, khY nwnku scy swihb ijau BwvY iqvY clwvhy ]15] 
ayhu sohilaa sabad suhaavaa., eyhu soihlw sbdu suhwvw ] 
sabdo suhaavaa sadaa sohilaa satguroo sunaa-i-aa., sbdo suhwvw sdw soihlw siqgurU suxwieAw ] 
ayhu tin kai man vasi-aa jin Dharahu likhi-aa aa-i-aa., eyhu iqn kY mMin visAw ijn Durhu iliKAw AwieAw ] 
ik fireh ghanayray karahi galaa galee kinai na paa-i-aa., ieik iPrih Gnyry krih glw glI iknY n pwieAw ] 
kahai naanak sabad sohilaa satguroo sunaa-i-aa. ||16||, khY nwnku sbdu soihlw siqgurU suxwieAw ]16] 
pavit ho-ay say janaa jinee har Dhi-aa-i-aa., pivqu hoey sy jnw ijnI hir iDAwieAw ] 
har Dhi-aa-i-aa pavit ho-ay gurmukh jinee Dhi-aa-i-aa., hir iDAwieAw pivqu hoey gurmuiK ijnI iDAwieAw ] 
pavit maataa pitaa kutamb sahit si-o pavit sangat sabaa-ee-aa., pivqu mwqw ipqw kutMb sihq isau pivqu sMgiq sbweIAw ] 
kahday pavit sunday pavit say pavit jinee man vasaa-i-aa., khdy pivqu suxdy pivqu sy pivqu ijnI mMin vswieAw ] 
kahai naanak say pavit jinee gurmukh har har Dhi-aa-i-aa. ||17||, khY nwnku sy pivqu ijnI gurmuiK hir hir iDAwieAw ]17] 
karmee sahj na oopjai vin sahjai sahsaa na jaa-ay., krmI shju n aUpjY ivxu shjY shsw n jwie ] 
nah jaa-ay sahsaa kitai sanjam rahay karam kamaa-ay., nh jwie shsw ikqY sMjim rhy krm kmwey ] 
sahsai jee-o maleen hai kit sanjam Dhotaa jaa-ay., shsY jIau mlIxu hY ikqu sMjim Doqw jwey ] 
man Dhovahu sabad laagahu har si-o rahhu chit laa-ay., mMnu Dovhu sbid lwghu hir isau rhhu icqu lwie ] 
kahai naanak gur parsaadee sahj upjai ih sahsaa iv jaa-ay. ||18||, khY nwnku gur prswdI shju aupjY iehu shsw iev jwie ]18] 
jee-ahu mailay baahrahu nirmal., jIAhu mYly bwhrhu inrml ] 
baahrahu nirmal jee-ahu ta mailay tinee janam joo-ai haari-aa., bwhrhu inrml jIAhu q mYly iqnI jnmu jUAY hwirAw ] 
ayh tisnaa vadaa rog lagaa maran manhu visaari-aa., eyh iqsnw vfw rogu lgw mrxu mnhu ivswirAw ] 
vaydaa meh naam utam so suneh naahee fireh ji-o baytaali-aa., vydw mih nwmu auqmu so suxih nwhI iPrih ijau byqwilAw ] 
kahai naanak jin sach taji-aa koorhay laagay tinee janam joo-ai haari-aa. ||19||, khY nwnku ijn scu qijAw kUVy lwgy iqnI jnmu jUAY hwirAw ]19] 
jee-ahu nirmal baahrahu nirmal., jIAhu inrml bwhrhu inrml ] 
baahrahu ta nirmal jee-ahu nirmal satgur tay karnee kamaanee., bwhrhu q inrml jIAhu inrml siqgur qy krxI kmwxI ] 
koorh kee so-ay pahuchai naahee mansaa sach samaanee., kUV kI soie phucY nwhI mnsw sic smwxI ] 
janam ratan jinee khati-aa bhalay say vanjaaray., jnmu rqnu ijnI KitAw Bly sy vxjwry ] 
kahai naanak jin man nirmal sadaa raheh gur naalay. ||20||, khY nwnku ijn mMnu inrmlu sdw rhih gur nwly ]20] 
jay ko sikh guroo saytee sanmukh hovai., jy ko isKu gurU syqI snmuKu hovY ] 
hovai ta sanmukh sikh ko-ee jee-ahu rahai gur naalay., hovY q snmuKu isKu koeI jIAhu rhY gur nwly ] 
gur kay charan hirdai Dhi-aa-ay antar aatmai samaalay., gur ky crn ihrdY iDAwey AMqr AwqmY smwly ] 
aap chhad sadaa rahai parnai gur bin avar na jaanai ko-ay., Awpu Cif sdw rhY prxY gur ibnu Avru n jwxY koey ] 
kahai naanak sunhu santahu so sikh sanmukh ho-ay. ||21||, khY nwnku suxhu sMqhu so isKu snmuKu hoey ]21] 
jay ko gur tay vaimukh hovai bin satgur mukat na paavai., jy ko gur qy vymuKu hovY ibnu siqgur mukiq n pwvY ] 
paavai mukat na hor thai ko-ee puchhahu bibaykee-aa jaa-ay., pwvY mukiq n hor QY koeI puChu ibbykIAw jwey ] 
anayk joonee bharam aavai vin satgur mukat na paa-ay., Anyk jUnI Brim AwvY ivxu siqgur mukiq n pwey ] 
fir mukat paa-ay laag charnee satguroo sabad sunaa-ay., iPir mukiq pwey lwig crxI siqgurU sbdu suxwey ] 
kahai naanak veechaar daykhhu vin satgur mukat na paa-ay. ||22||, khY nwnku vIcwir dyKhu ivxu siqgur mukiq n pwey ]22] 
aavhu sikh satguroo kay pi-aariho gaavhu sachee banee., Awvhu isK siqgurU ky ipAwirho gwvhu scI bwxI ] 
banee ta gaavhu guroo kayree baanee-aa sir banee., bwxI q gwvhu gurU kyrI bwxIAw isir bwxI ] 
jin ka-o nadar karam hovai hirdai tinaa samaanee., ijn kau ndir krmu hovY ihrdY iqnw smwxI ] 
peevhu amrit sadaa rahhu har rang japihu saarigpaanee., pIvhu AMimRqu sdw rhhu hir rMig jiphu swirgpwxI ] 
kahai naanak sadaa gaavhu ayh sachee banee. ||23||, khY nwnku sdw gwvhu eyh scI bwxI ]23] 
satguroo binaa hor kachee hai banee., siqgurU ibnw hor kcI hY bwxI ] 
banee ta kachee satguroo baajhahu hor kachee banee., bwxI q kcI siqgurU bwJhu hor kcI bwxI ] 
kahday kachay sunday kachay kacheeN aakh vakhaanee., khdy kcy suxdy kcy kcˆØI AwiK vKwxI ] 
har har nit karahi rasnaa kahi-aa kachhoo na jaanee., hir hir inq krih rsnw kihAw kCU n jwxI ] 
chit jin kaa hir la-i-aa maa-i-aa bolan pa-ay ravaanee., icqu ijn kw ihir lieAw mwieAw bolin pey rvwxI ] 
kahai naanak satguroo baajhahu hor kachee banee. ||24||, khY nwnku siqgurU bwJhu hor kcI bwxI ]24] 
gur kaa sabad ratann hai heeray jit jarhaa-o., gur kw sbdu rqMnu hY hIry ijqu jVwau ] 
sabad ratan jit man laagaa ayhu ho-aa samaa-o., sbdu rqnu ijqu mMnu lwgw eyhu hoAw smwau ] 
sabad saytee man mili-aa sachai laa-i-aa bhaa-o., sbd syqI mnu imilAw scY lwieAw Bwau ] 
aapay heeraa ratan aapay jis no day-ay bujhaa-ay., Awpy hIrw rqnu Awpy ijs no dyie buJwie ] 
kahai naanak sabad ratan hai heeraa jit jarhaa-o. ||25||, khY nwnku sbdu rqnu hY hIrw ijqu jVwau ]25] 
siv sakat aap upaa-ay kai kartaa aapay hukam vartaa-ay., isv skiq Awip aupwie kY krqw Awpy hukmu vrqwey ] 
hukam vartaa-ay aap vaykhai gurmukh kisai bujhaa-ay., hukmu vrqwey Awip vyKY gurmuiK iksY buJwey ] 
torhay banDhan hovai mukat sabad man vasaa-ay., qoVy bMDn hovY mukqu sbdu mMin vswey ] 
gurmukh jis no aap karay so hovai aykas si-o liv laa-ay., gurmuiK ijs no Awip kry su hovY eyks isau ilv lwey ] 
kahai naanak aap kartaa aapay hukam bujhaa-ay. ||26||, khY nwnku Awip krqw Awpy hukmu buJwey ]26] 
simrit saastar punn paap beechaarday tatai saar na jaanee., isimRiq swsqR puMn pwp bIcwrdy qqY swr n jwxI ] 
tatai saar na jaanee guroo baajhahu tatai saar na jaanee., qqY swr n jwxI gurU bwJhu qqY swr n jwxI ] 
tihee gunee sansaar bharam sutaa suti-aa rain vihaanee., iqhI guxI sMswru BRim suqw suiqAw rYix ivhwxI ] 
gur kirpaa tay say jan jaagay jinaa har man vasi-aa boleh amrit banee., gur ikrpw qy sy jn jwgy ijnw hir min visAw bolih AMimRq bwxI ] 
kahai naanak so tat paa-ay jis no an-din har liv laagai jaagat rain vihaanee. ||27||, khY nwnku so qqu pwey ijs no Anidnu hir ilv lwgY jwgq rYix ivhwxI ]27] 
maataa kay udar meh partipaal karay so ki-o manhu visaaree-ai., mwqw ky audr mih pRiqpwl kry so ikau mnhu ivswrIAY ] 
manhu ki-o visaaree-ai ayvad daataa je agan meh aahaar pahuchaava-ay., mnhu ikau ivswrIAY eyvfu dwqw ij Agin mih Awhwru phucwvey ] 
os no kihu pohi na sakee jis na-o aapnee liv laav-ay., Es no ikhu poih n skI ijs nau AwpxI ilv lwvey ] 
aapnee liv aapay laa-ay gurmukh sadaa samaalee-ai., AwpxI ilv Awpy lwey gurmuiK sdw smwlIAY ] 
kahai naanak ayvad daataa so ki-o manhu visaaree-ai. ||28||, khY nwnku eyvfu dwqw so ikau mnhu ivswrIAY ]28] 
jaisee agan udar meh taisee baahar maa-i-aa., jYsI Agin audr mih qYsI bwhir mwieAw ] 
maa-i-aa agan sabh iko jayhee kartai khayl rachaa-i-aa., mwieAw Agin sB ieko jyhI krqY Kylu rcwieAw ] 
jaa tis bhaanaa taa jammi-aa parvaar bhalaa bhaa-i-aa., jw iqsu Bwxw qw jMimAw prvwir Blw BwieAw ] 
liv chhurhkee lagee tarisnaa maa-i-aa amar vartaa-i-aa., ilv CuVkI lgI iqRsnw mwieAw Amru vrqwieAw ] 
ayh maa-i-aa jit har visrai moh upjai bhaa-o doojaa laa-i-aa., eyh mwieAw ijqu hir ivsrY mohu aupjY Bwau dUjw lwieAw ] 
kahai naanak gur parsaadee jinaa liv laagee tinee vichay maa-i-aa paa-i-aa. ||29||, khY nwnku gur prswdI ijnw ilv lwgI iqnI ivcy mwieAw pwieAw ]29] 
har aap amulak hai mul na paa-i-aa jaa-ay., hir Awip Amulku hY muil n pwieAw jwie ] 
mul na paa-i-aa jaa-ay kisai vitahu rahay lok villaa-ay., muil n pwieAw jwie iksY ivthu rhy lok ivllwie ] 
aisaa satgur jay milai tis no sir sa-upee-ai vichahu aap jaa-ay., AYsw siqguru jy imlY iqs no isru saupIAY ivchu Awpu jwie ] 
jis daa jee-o tis mil rahai har vasai man aa-ay., ijs dw jIau iqsu imil rhY hir vsY min Awie ] 
har aap amulak hai bhaag tinaa kay naankaa jin har palai paa-ay. ||30||, hir Awip Amulku hY Bwg iqnw ky nwnkw ijn hir plY pwie ]30] 
har raas mayree man vanjaaraa., hir rwis myrI mnu vxjwrw ] 
har raas mayree man vanjaaraa satgur tay raas jaanee., hir rwis myrI mnu vxjwrw siqgur qy rwis jwxI ] 
har har nit japihu jee-ahu laahaa khatihu dihaarhee., hir hir inq jiphu jIAhu lwhw Kithu idhwVI ] 
ayhu Dhan tinaa mili-aa jin har aapay bhaanaa., eyhu Dnu iqnw imilAw ijn hir Awpy Bwxw ] 
kahai naanak har raas mayree man ho-aa vanjaaraa. ||31||, khY nwnku hir rwis myrI mnu hoAw vxjwrw ]31] 
ay rasnaa too an ras raach rahee tayree pi-aas na jaa-ay., ey rsnw qU An ris rwic rhI qyrI ipAws n jwie ] 
pi-aas na jaa-ay horat kitai jichar har ras palai na paa-ay., ipAws n jwie horqu ikqY ijcru hir rsu plY n pwie ] 
har ras paa-ay palai pee-ai har ras bahurh na tarisnaa laagai aa-ay., hir rsu pwie plY pIAY hir rsu bhuiV n iqRsnw lwgY Awie ] 
ayhu har ras karmee paa-ee-ai satgur milai jis aa-ay., eyhu hir rsu krmI pweIAY siqguru imlY ijsu Awie ] 
kahai naanak hor an ras sabh veesray jaa har vasai man aa-ay. ||32||, khY nwnku hoir An rs siB vIsry jw hir vsY min Awie ]32] 
ay sareeraa mayri-aa har tum meh jot rakhee taa too jag meh aa-i-aa., ey srIrw myirAw hir qum mih joiq rKI qw qU jg mih AwieAw ] 
har jot rakhee tuDh vich taa too jag meh aa-i-aa., hir joiq rKI quDu ivic qw qU jg mih AwieAw ] 
har aapay maataa aapay pitaa jin jee-o upaa-ay jagat dikhaa-i-aa., hir Awpy mwqw Awpy ipqw ijin jIau aupwie jgqu idKwieAw ] 
gur parsaadee bujhi-aa taa chalat ho-aa chalat nadree aa-i-aa., gur prswdI buiJAw qw clqu hoAw clqu ndrI AwieAw ] 
kahai naanak sarisat kaa mool rachi-aa jot raakhee taa too jag meh aa-i-aa. ||33||, khY nwnku isRsit kw mUlu ricAw joiq rwKI qw qU jg mih AwieAw ]33] 
man chaa-o bha-i-aa parabh aagam suni-aa., min cwau BieAw pRB Awgmu suixAw ] 
har mangal gaa-o sakhee garihu mandar bani-aa., hir mMglu gwau sKI igRhu mMdru bixAw ] 
har gaa-o mangal nit sakhee-ay sog dookh na vi-aapa-ay., hir gwau mMglu inq sKIey sogu dUKu n ivAwpey ] 
gur charan laagay din sabhaagay aapnaa pir jaap-ay., gur crn lwgy idn sBwgy Awpxw ipru jwpey ] 
anhat banee gur sabad jaanee har naam har ras bhogo., Anhq bwxI gur sbid jwxI hir nwmu hir rsu Bogo ] 
kahai naanak parabh aap mili-aa karan kaaran jogo. ||34||, khY nwnku pRBu Awip imilAw krx kwrx jogo ]34] 
ay sareeraa mayri-aa is jag meh aa-ay kai ki-aa tuDh karam kamaa-i-aa., ey srIrw myirAw iesu jg mih Awie kY ikAw quDu krm kmwieAw ] 
ke karam kamaa-i-aa tuDh sareeraa jaa too jag meh aa-i-aa., ik krm kmwieAw quDu srIrw jw qU jg mih AwieAw ] 
jin har tayraa rachan rachi-aa so har man na vasaa-i-aa., ijin hir qyrw rcnu ricAw so hir min n vswieAw ] 
gur parsaadee har man vasi-aa poorab likhi-aa paa-i-aa., gur prswdI hir mMin visAw pUrib iliKAw pwieAw ] 
kahai naanak ayhu sareer parvaan ho-aa jin satgur si-o chit laa-i-aa. ||35||, khY nwnku eyhu srIru prvwxu hoAw ijin siqgur isau icqu lwieAw ]35] 
ay naytarahu mayriho har tum meh jot Dharee har bin avar na daykhhu ko-ee., ey nyqRhu myirho hir qum mih joiq DrI hir ibnu Avru n dyKhu koeI ] 
har bin avar na daykhhu ko-ee nadree har nihaali-aa., hir ibnu Avru n dyKhu koeI ndrI hir inhwilAw ] 
ayhu vis sansaar tum daykh-day ayhu har kaa roop hai har roop nadree aa-i-aa., eyhu ivsu sMswru qum dyKdy eyhu hir kw rUpu hY hir rUpu ndrI AwieAw ] 
gur parsaadee bujhi-aa jaa vaykhaa har ik hai har bin avar na ko-ee., gur prswdI buiJAw jw vyKw hir ieku hY hir ibnu Avru n koeI ] 
kahai naanak ayhi naytar anDh say satgur mili-ai dib darisat ho-ee. ||36||, khY nwnku eyih nyqR AMD sy siqguir imilAY idb idRsit hoeI ]36] 
ay sarvanhu mayriho saachai sunnai no pathaa-ay., ey sRvxhu myirho swcY sunxY no pTwey ] 
saachai sunnai no pathaa-ay sareer laa-ay sunhu sat banee., swcY sunxY no pTwey srIir lwey suxhu siq bwxI ] 
jit sunee man tan hari-aa ho-aa rasnaa ras samaanee., ijqu suxI mnu qnu hirAw hoAw rsnw ris smwxI ] 
sach alakh vidaanee taa kee gat kahee na jaa-ay., scu AlK ivfwxI qw kI giq khI n jwey ] 
kahai naanak amrit naam sunhu pavitar hovhu saachai sunnai no pathaa-ay. ||37||, khY nwnku AMimRq nwmu suxhu pivqR hovhu swcY sunxY no pTwey ]37] 
har jee-o gufaa andar rakh kai vaajaa pavan vajaa-i-aa., hir jIau guPw AMdir riK kY vwjw pvxu vjwieAw ] 
vajaa-i-aa vaajaa pa-un na-o du-aaray pargat kee-ay dasvaa gupat rakhaa-i-aa., vjwieAw vwjw paux nau duAwry prgtu kIey dsvw gupqu rKwieAw ] 
gurdu-aarai laa-ay bhaavnee iknaa dasvaa du-aar dikhaa-i-aa., gurduAwrY lwie BwvnI ieknw dsvw duAwru idKwieAw ] 
tah anayk roop naa-o nav niDh tis daa ant na jaa-ee paa-i-aa., qh Anyk rUp nwau nv iniD iqs dw AMqu n jweI pwieAw ] 
kahai naanak har pi-aarai jee-o gufaa andar rakh kai vaajaa pavan vajaa-i-aa. ||38||, khY nwnku hir ipAwrY jIau guPw AMdir riK kY vwjw pvxu vjwieAw ]38] 
ayhu saachaa sohilaa saachai ghar gaavhu., eyhu swcw soihlw swcY Gir gwvhu ] 
gaavhu ta sohilaa ghar saachai jithai sadaa sach Dhi-aavhay., gwvhu q soihlw Gir swcY ijQY sdw scu iDAwvhy ] 
sacho Dhi-aavahi jaa tuDh bhaaveh gurmukh jinaa bujhaavhay., sco iDAwvih jw quDu Bwvih gurmuiK ijnw buJwvhy ] 
ih sach sabhnaa kaa khasam hai jis bakhsay so jan paavhay., iehu scu sBnw kw Ksmu hY ijsu bKsy so jnu pwvhy ] 
kahai naanak sach sohilaa sachai ghar gaavhay. ||39||, khY nwnku scu soihlw scY Gir gwvhy ]39] 
anad sunhu vadbhaageeho sagal manorath pooray., Andu suxhu vfBwgIho sgl mnorQ pUry ] 
paarbarahm parabh paa-i-aa utray sagal visooray., pwrbRhmu pRBu pwieAw auqry sgl ivsUry ] 
dookh rog santaap utray sunee sachee banee., dUK rog sMqwp auqry suxI scI bwxI ] 
sant saajan bha-ay sarsay pooray gur tay jaanee., sMq swjn Bey srsy pUry gur qy jwxI ] 
suntay puneet kahtay pavit satgur rahi-aa bharpooray., suxqy punIq khqy pivqu siqguru rihAw BrpUry ] 
binvant naanak gur charan laagay vaajay anhad tooray. ||40||1||, ibnvMiq nwnku gur crx lwgy vwjy Anhd qUry ]40]1] 
