English,Punjabi
hor kaethae thudhhano gaavan sae mai chith n aavan naanak kiaa beechaarae ||,hoir kyqy quDno gwvin sy mY iciq n Awvin nwnku ikAw bIcwry ]
soee soee sadhaa sach saahib saachaa saachee naaee ||,soeI soeI sdw scu swihbu swcw swcI nweI ]
hai bhee hosee jaae n jaasee rachanaa jin rachaaee ||,hY BI hosI jwie n jwsI rcnw ijin rcweI ]
ra(n)gee ra(n)gee bhaathee kar kar jinasee maaeiaa jin oupaaee ||,rMgI rMgI BwqI kir kir ijnsI mwieAw ijin aupweI ]
kar kar dhaekhai keethaa aapanaa jio this dhee vaddiaaee ||,kir kir dyKY kIqw Awpxw ijau iqs dI vifAweI ]
jo this bhaavai soee karasee fir hukam n karanaa jaaee ||,jo iqsu BwvY soeI krsI iPir hukmu n krxw jweI ]
so paathisaahu saahaa pathisaahib naanak rehan rajaaee ||1|| ,so pwiqswhu swhw piqswihbu nwnk rhxu rjweI ]1]
aasaa mehalaa 1 ||,Awsw mhlw 1 ]
sun vaddaa aakhai sabh koe ||,suix vfw AwKY sBu koie ]
kaevadd vaddaa ddeet(h)aa hoe ||,kyvfu vfw fITw hoie ]
keemath paae n kehiaa jaae ||,kImiq pwie n kihAw jwie ]
kehanai vaalae thaerae rehae samaae ||1||,khxY vwly qyry rhy smwie ]1]
vaddae maerae saahibaa gehir ga(n)bheeraa gunee geheeraa ||,vfy myry swihbw gihr gMBIrw guxI ghIrw ]
koe n jaanai thaeraa kaethaa kaevadd cheeraa ||1||,koie n jwxY qyrw kyqw kyvfu cIrw ]1] rhwau ]
rehaao || sabh surathee mil surath kamaaee ||,siB surqI imil suriq kmweI ]
sabh keemath mil keemath paaee ||,sB kImiq imil kImiq pweI ]
giaanee dhhiaanee gur gurehaaee ||,igAwnI iDAwnI gur gurhweI ]
kehan n jaaee thaeree thil vaddiaaee ||2||,khxu n jweI qyrI iqlu vifAweI ]2]
sabh sath sabh thap sabh cha(n)giaaeeaa ||,siB sq siB qp siB cMigAweIAw ]
sidhhaa purakhaa keeaa vaddiaaeeaa ||,isDw purKw kIAw vifAweIAw ]
thudhh vin sidhhee kinai n paaeeaa ||,quDu ivxu isDI iknY n pweIAw ]
karam milai naahee t(h)aak rehaaeeaa ||3||,krim imlY nwhI Twik rhweIAw ]3]
aakhan vaalaa kiaa vaechaaraa ||,AwKx vwlw ikAw vycwrw ]
sifathee bharae thaerae bha(n)ddaaraa ||,isPqI Bry qyry BMfwrw ]
jis thoo dhaehi thisai kiaa chaaraa ||,ijsu qU dyih iqsY ikAw cwrw ]
naanak sach savaaranehaaraa ,nwnk scu svwrxhwrw ]4]2]
aasaa mehalaa 1 ||,Awsw mhlw 1 ]
aakhaa jeevaa visarai mar jaao ||,AwKw jIvw ivsrY mir jwau ]
aakhan aoukhaa saachaa naao ||,AwKix AauKw swcw nwau ]
saachae naam kee laagai bhookh ||,swcy nwm kI lwgY BUK ]
outh bhookhai khaae chaleeahi dhookh ||1||,auqu BUKY Kwie clIAih dUK ]1]
so kio visarai maeree maae ||,so ikau ivsrY myrI mwie ]
saachaa saahib saachai naae ||1||,swcw swihbu swcY nwie ]1] rhwau ]
rehaao || saachae naam kee thil vaddiaaee ||,swcy nwm kI iqlu vifAweI ]
aakh thhakae keemath nehee paaee ||,AwiK Qky kImiq nhI pweI ]
jae sabh mil kai aakhan paahi ||,jy siB imil kY AwKx pwih ]
vaddaa n hovai ghaatt n jaae ||2||,vfw n hovY Gwit n jwie ]2]
naa ouhu marai n hovai sog ||,nw Ehu mrY n hovY sogu ]
dhaedhaa rehai n chookai bhog ||,dydw rhY n cUkY Bogu ]
gun eaeho hor naahee koe ||,guxu eyho horu nwhI koie ]
 naa ko hoaa naa ko hoe ||3||,nw ko hoAw nw ko hoie ]3]
jaevadd aap thaevadd thaeree dhaath ||,jyvfu Awip qyvf qyrI dwiq ]
jin dhin kar kai keethee raath ||,ijin idnu kir kY kIqI rwiq ]
khasam visaarehi thae kamajaath ||,Ksmu ivswrih qy kmjwiq ]
naanak naavai baajh sanaath ||4||3|| raag goojaree mehalaa 4 ||,nwnk nwvY bwJu snwiq ]4]3] rwgu gUjrI mhlw 4 ]
har kae jan sathigur sathapurakhaa bino karo gur paas ||,hir ky jn siqgur sqpurKw ibnau krau gur pwis ]
ham keerae kiram sathigur saranaaee kar dhaeiaa naam paragaas ||1||,hm kIry ikrm siqgur srxweI kir dieAw nwmu prgwis]1]
maerae meeth guradhaev mo ko raam naam paragaas ||,myry mIq gurdyv mo kau rwm nwmu prgwis ]
guramath naam maeraa praan sakhaaee har keerath hamaree reharaas ||1||,gurmiq nwmu myrw pRwn sKweI hir kIriq hmrI rhrwis]1]
rehaao || har jan kae vadd bhaag vaddaerae jin har har saradhhaa har piaas ||,rhwau ] hir jn ky vf Bwg vfyry ijn hir hir srDw hir ipAws]
har har naam milai thripathaasehi mil sa(n)gath gun paragaas ||2||,hir hir nwmu imlY iqRpqwsih imil sMgiq gux prgwis]2]
jin har har har ras naam n paaeiaa thae bhaageheen jam paas ||,ijn hir hir hir rsu nwmu n pwieAw qy BwghIx jm pwis]
jo sathigur saran sa(n)gath nehee aaeae dhhrig jeevae dhhrig jeevaas ||3||,jo siqgur srix sMgiq nhI Awey iDRgu jIvy iDRgu jIvwis]3]
jin har jan sathigur sa(n)gath paaee thin dhhur masathak likhiaa likhaas ||,ijn hir jn siqgur sMgiq pweI iqn Duir msqik iliKAw ilKwis ]
dhhan dhha(n)n sathasa(n)gath jith har ras paaeiaa mil jan naanak naam paragaas ||4||4|| ,Dnu DMnu sqsMgiq ijqu hir rsu pwieAw imil jn nwnk nwmu prgwis ]4]4]
raag goojaree mehalaa 5 || ,rwgu gUjrI mhlw 5 ]
kaahae rae man chithavehi oudham jaa aahar har jeeo pariaa ||,kwhy ry mn icqvih audmu jw Awhir hir jIau pirAw ]
sail pathhar mehi ja(n)th oupaaeae thaa kaa rijak aagai kar dhhariaa ||1||,sYl pQr mih jMq aupwey qw kw irjku AwgY kir DirAw]1]
maerae maadhho jee sathasa(n)gath milae s thariaa ||,myry mwDau jI sqsMgiq imly su qirAw ]
gur parasaadh param padh paaeiaa sookae kaasatt hariaa ||1||,gur prswid prm pdu pwieAw sUky kwst hirAw ]1]
rehaao || janan pithaa lok suth banithaa koe n kis kee dhhariaa ||,rhwau ] jnin ipqw lok suq binqw koie n iks kI DirAw ]
sir sir rijak sa(n)baahae t(h)aakur kaahae man bho kariaa ||2||,isir isir irjku sMbwhy Twkuru kwhy mn Bau kirAw ]2]
ooddae oodd aavai sai kosaa this paashhai bacharae shhariaa ||,aUfy aUif AwvY sY kosw iqsu pwCY bcry CirAw ]
thin kavan khalaavai kavan chugaavai man mehi simaran kariaa ||3||,iqn kvxu KlwvY kvxu cugwvY mn mih ismrnu kirAw ]3]
sabh nidhhaan dhas asatt sidhhaan t(h)aakur kar thal dhhariaa ||,siB inDwn ds Ast isDwn Twkur kr ql DirAw ]
jan naanak bal bal sadh bal jaaeeai thaeraa a(n)th n paaraavariaa ||4||5|| ,jn nwnk bil bil sd bil jweIAY qyrw AMqu n pwrwvirAw ]4]5]
raag aasaa mehalaa 4 so purakhu ik oa(n)kaar sathigur prasaadh ||,rwgu Awsw mhlw 4 so purKu <> siqgur pRswid ]
so purakh nira(n)jan har purakh nira(n)jan har agamaa agam apaaraa ||,so purKu inrMjnu hir purKu inrMjnu hir Agmw Agm Apwrw]
sabh dhhiaavehi sabh dhhiaavehi thudhh jee har sachae sirajanehaaraa ||,siB iDAwvih siB iDAwvih quDu jI hir scy isrjxhwrw ]
sabh jeea thumaarae jee thoo(n) jeeaa kaa dhaathaaraa ||,siB jIA qumwry jI qUM jIAw kw dwqwrw ]
har dhhiaavahu sa(n)thahu jee sabh dhookh visaaranehaaraa ||,hir iDAwvhu sMqhu jI siB dUK ivswrxhwrw ]
har aapae t(h)aakur har aapae saevak jee kiaa naanak ja(n)th vichaaraa ||1||,hir Awpy Twkuru hir Awpy syvku jI ikAw nwnk jMq ivcwrw]1]
thoo(n) ghatt ghatt a(n)thar sarab nira(n)thar jee har eaeko purakh samaanaa ||,qUM Gt Gt AMqir srb inrMqir jI hir eyko purKu smwxw ]
eik dhaathae eik bhaekhaaree jee sabh thaerae choj viddaanaa ||,ieik dwqy ieik ByKwrI jI siB qyry coj ivfwxw ]
thoo(n) aapae dhaathaa aapae bhugathaa jee ho thudhh bin avar n jaanaa ||,qUM Awpy dwqw Awpy Bugqw jI hau quDu ibnu Avru n jwxw ]
thoo(n) paarabreham baea(n)th baea(n)th jee thaerae kiaa gun aakh vakhaanaa ||,qUM pwrbRhmu byAMqu byAMqu jI qyry ikAw gux AwiK vKwxw ]
jo saevehi jo saevehi thudhh jee jan naanak thin kurabaanaa ||2||,jo syvih jo syvih quDu jI jnu nwnku iqn kurbwxw ]2]
har dhhiaavehi har dhhiaavehi thudhh jee sae jan jug mehi sukhavaasee ||,hir iDAwvih hir iDAwvih quDu jI sy jn jug mih suKvwsI ]
sae mukath sae mukath bheae jin har dhhiaaeiaa jee thin thoottee jam kee faasee ||,sy mukqu sy mukqu Bey ijn hir iDAwieAw jI iqn qUtI jm kI PwsI ]
jin nirabho jin har nirabho dhhiaaeiaa jee thin kaa bho sabh gavaasee ||,ijn inrBau ijn hir inrBau iDAwieAw jI iqn kw Bau sBu gvwsI ]
jin saeviaa jin saeviaa maeraa har jee thae har har roop samaasee ||,ijn syivAw ijn syivAw myrw hir jI qy hir hir rUip smwsI ]
sae dhha(n)n sae dhha(n)n jin har dhhiaaeiaa jee jan naanak thin bal jaasee ||3||,sy DMnu sy DMnu ijn hir iDAwieAw jI jnu nwnku iqn bil jwsI ]3]
thaeree bhagath thaeree bhagath bha(n)ddaar jee bharae bia(n)th baea(n)thaa ||,qyrI Bgiq qyrI Bgiq BMfwr jI Bry ibAMq byAMqw ]
thaerae bhagath thaerae bhagath salaahan thudhh jee har anik anaek ana(n)thaa ||,qyry Bgq qyry Bgq slwhin quDu jI hir Aink Anyk An qw ]
thaeree anik thaeree anik karehi har poojaa jee thap thaapehi japehi baea(n)thaa ||,qyrI Aink qyrI Aink krih hir pUjw jI qpu qwpih jpih byAMqw ]
thaerae anaek thaerae anaek parrehi bahu simrith saasath jee kar kiriaa khatt karam kara(n)thaa ||,qyry Anyk qyry Anyk pVih bhu isimRiq swsq jI kir ikirAw Ktu krm krMqw ]
sae bhagath sae bhagath bhalae jan naanak jee jo bhaavehi maerae har bhagava(n)thaa ||4|| ,sy Bgq sy Bgq Bly jn nwnk jI jo Bwvih myry hir BgvMqw ]4]
thoo(n) aadh purakh apara(n)par karathaa jee thudhh jaevadd avar n koee ||,qUM Awid purKu AprMpru krqw jI quDu jyvfu Avru n koeI ]
thoo(n) jug jug eaeko sadhaa sadhaa thoo(n) eaeko jee thoo(n) nihachal karathaa soee || ,qUM jugu jugu eyko sdw sdw qUM eyko jI qUM inhclu krqw soeI]
thudhh aapae bhaavai soee varathai jee thoo(n) aapae karehi s hoee ||,quDu Awpy BwvY soeI vrqY jI qUM Awpy krih su hoeI ]
thudhh aapae srisatt sabh oupaaee jee thudhh aapae siraj sabh goee ||,quDu Awpy isRsit sB aupweI jI quDu Awpy isrij sB goeI ]
jan naanak gun gaavai karathae kae jee jo sabhasai kaa jaanoee ||5||1|| ,jnu nwnku gux gwvY krqy ky jI jo sBsY kw jwxoeI ]5]1]
aasaa mehalaa 4 ||,Awsw mhlw 4 ]
thoo(n) karathaa sachiaar maiddaa saa(n)ee ||,qUM krqw sicAwru mYfw sWeI ]
jo tho bhaavai soee thheesee jo thoo(n) dhaehi soee ho paaee ||1|| rehaao ||,jo qau BwvY soeI QIsI jo qUM dyih soeI hau pweI ]1] rhwau]
sabh thaeree thoo(n) sabhanee dhhiaaeiaa ||,sB qyrI qUM sBnI iDAwieAw ]
jis no kirapaa karehi thin naam rathan paaeiaa ||,ijs no ik®pw krih iqin nwm rqnu pwieAw ]
guramukh laadhhaa manamukh gavaaeiaa ||,gurmuiK lwDw mnmuiK gvwieAw ]
thudhh aap vishhorriaa aap milaaeiaa ||1||,quDu Awip ivCoiVAw Awip imlwieAw ]1]
thoo(n) dhareeaao sabh thujh hee maahi ||,qUM drIAwau sB quJ hI mwih ]
thujh bin dhoojaa koee naahi ||,quJ ibnu dUjw koeI nwih ]
jeea ja(n)th sabh thaeraa khael ||,jIA jMq siB qyrw Kylu ]
vijog mil vishhurriaa sa(n)jogee mael ||2||,ivjoig imil ivCuiVAw sMjogI mylu ]2]
jis no thoo jaanaaeihi soee jan jaanai ||,ijs no qU jwxwieih soeI jnu jwxY ]
har gun sadh hee aakh vakhaanai ||,hir gux sd hI AwiK vKwxY ]
jin har saeviaa thin sukh paaeiaa ||,ijin hir syivAw iqin suKu pwieAw ]
sehajae hee har naam samaaeiaa ||3||,shjy hI hir nwim smwieAw ]3]
thoo aapae karathaa thaeraa keeaa sabh hoe ||,qU Awpy krqw qyrw kIAw sBu hoie ]
thudhh bin dhoojaa avar n koe ||,quDu ibnu dUjw Avru n koie ]
thoo kar kar vaekhehi jaanehi soe ||,qU kir kir vyKih jwxih soie ]
jan naanak guramukh paragatt hoe ||4||2||,jn nwnk gurmuiK prgtu hoie ]4]2]
aasaa mehalaa 1 ||,Awsw mhlw 1 ]
thith saravararrai bheelae nivaasaa paanee paavak thinehi keeaa ||,iqqu srvrVY BeIly invwsw pwxI pwvku iqnih kIAw ]
pa(n)kaj moh pag nehee chaalai ham dhaekhaa theh ddoobeealae ||1||,pMkju moh pgu nhI cwlY hm dyKw qh fUbIAly ]1]
man eaek n chaethas moorr manaa || ,mn eyku n cyqis mUV mnw ]
har bisarath thaerae gun galiaa ||1|| rehaao ||,hir ibsrq qyry gux gilAw ]1] rhwau ]
naa ho jathee sathee nehee parriaa moorakh mugadhhaa janam bhaeiaa ||,nw hau jqI sqI nhI piVAw mUrK mugDw jnmu BieAw ]
pranavath naanak thin kee saranaa jin thoo naahee veesariaa ||2||3|| ,pRxviq nwnk iqn kI srxw ijn qU nwhI vIsirAw]2]3]
aasaa mehalaa 5 ||,Awsw mhlw 5 ]
bhee paraapath maanukh dhaehureeaa ||,BeI prwpiq mwnuK dyhurIAw ]
gobi(n)dh milan kee eih thaeree bareeaa ||,goibMd imlx kI ieh qyrI brIAw ]
avar kaaj thaerai kithai n kaam ||,Avir kwj qyrY ikqY n kwm ]
mil saadhhasa(n)gath bhaj kaeval naam ||1|| ,imlu swDsMgiq Bju kyvl nwm ]1]
ara(n)jaam laag bhavajal tharan kai ||,srMjwim lwgu Bvjl qrn kY ]
janam brithhaa jaath ra(n)g maaeiaa kai ||1|| rehaao ||,jnmu ibRQw jwq rMig mwieAw kY ]1] rhwau ]
jap thap sa(n)jam dhharam n kamaaeiaa ||,jpu qpu sMjmu Drmu n kmwieAw ]
saevaa saadhh n jaaniaa har raaeiaa ||,syvw swD n jwinAw hir rwieAw ]
kahu naanak ham neech kara(n)maa ||,khu nwnk hm nIc krMmw ]
saran parae kee raakhahu saramaa ||2||4|| ,srix pry kI rwKhu srmw ]2]4]
Patshai Dasvi Kabio Vach Bainti Chaupai  ,pwÚ 10 kibXobwc bynqI ] cOpeI ]
hamri kro hath dai rchcha. pooran hoeh chit ki eichcha.,hmrI kro hwQ dY r`Cw ] pUrn hoie icq kI ie`Cw ]
tav charnan mun rehai hmara. apna jan kro pritipara. (1),qv crnn mn rhY hmwrw ] Apnw jwn kro pRiqpwrw ]1]
hamrai dust sabhai tum ghao aapu hath dai moeh bachavo;,hmry dust sBY qum Gwvhu ] Awpu hwQ dY moih bcwvhu ]
sukhi basaimoro privara saivak sikh sbhai kartara. (2),suKI bsY moro pirvwrw ] syvk is`K sBY krqwrw ]2]
mo rchcha nij kr dai kriye. sabh bairn ko aij sunghriye.,mo r`Cw inj kr dY kirXY ] sB bYrn ko Awj sMGirXY ]
pooran hoeh hmari aasa. tor bhjan ki rehai piaasa. (3),pUrn hoie hmwrI Awsw ] qor Bjn kI rhY ipAwsw ]3]
tumeh chadi koei avr na dhiyaoun jo bar chon so tum tai paoon.,qumih Cwif koeI Avr n iDXwaUN ] jo br choN su qum qy pwaUN ]
saivk sikh hmarai tariaeh chuni chuni strhmarai mariaeh. (4) ,syvk is`K hmwry qwrIAih ] cuin cuin sqR hmwry mwrIAih]4]
aap hath dai mujhai obriyai mrn kal ka tras nivriaye.,Awp hwQ dY muJY aubirXY ] mrn kwl kw qRws invirXY ]
hoojo sda hamaraipchcha sri asidhuj joo kriyo rchcha. (5) ,hUjo sdw hmwry p`Cw ] sRI AisDuj jU kirXhu r`Cw ]5]
rakh laiho mohe rakhanharai sahib sant shaeh piyarai,rwiK lyhu muih rwKnhwry ] swihb sMq shwie ipXwry ]
deen bundhu dustan kai hunta tum ho puri chtur dus kunta. (6) ,dIn bMDu dustn ky hMqw ] qumho purI cqur ds kMqw ]6]
kal paeh brhma bup dhra. kal paeh siv joo avtra.,kwl pwie bRhmw bpu Drw ] kwl pwie isvjU Avqrw ]
kal paeh kr bisnu prkasa skl kal ka kia tmasa. (7) ,kwl pwie kr ibsnu pRkwsw ] skl kwl kw kIAw qmwsw]7]
jvan kal jogi siv kio baid raj brahma joo thio,jvn kwl jogI isv kIE ] bydrwj bRhmw jU QIE ]
jvn kal sabh lok svara nmskar hai taeh hmara. (8) ,jvn kwl sB lok svwrw ] nmskwr hY qwih hmwrw ]8]
jvn kal sabh jagat bnaio dev daint jchchan oopjaio,jvn kwl sB jgq bnwXo ] dyv dYq j`Cn aupjwXo ]
adi aunti aikai avtara soei guru smjhiayho hmara (9) ,Awid AMiq eykY Avqwrw ] soeI gurU smiJXhu hmwrw ]9]
nmskar tis hi ko hamari skal prja jin aap svari,nmskwr iqs hI ko hmwrI ] skl pRjw ijn Awp svwrI ]
sivkn ko siv gun sukh dio sttrun ko pul mo bdh kio. (10) ,isvkn ko isvgun suK dIE ] s`qRün ko pl mo bD kIE]10]
ghat ghat kai antar ki jant bhlai burai ki pir pachant,Gt Gt ky AMqr kI jwnq ] Bly bury kI pIr pCwnq ]
chiti tai kunchrasthoola sabh par kirpa diristi kar phoola. (11) ,cItI qy kuMcr AsQUlw ] sB pr ik®pw idRsit kr PUlw]11]
suntun dukh paai tai dukhi sukh paai sadhun kai sukhi,sMqn duK pwey qy duKI ] suK pwey swDn ky suKI ]
aik aik ki pir pchanain ghat ghat kai put put ki janai. (12) ,eyk eyk kI pIr pCwnYN ] Gt Gt ky pt pt kI jwnYN]12]
jub oodkrkh kra kartara prja dhrt tab dai apara,jb audkrK krw krqwrw ] pRjw Drq qb dyh Apwrw ]
jub aakrkh kart ho kabhoon tum mai milat dai dhr sbhhoon (13) ,jb AwkrK krq ho kbhUM ] qum mY imlq dyh Dr sBhUM]13]
jaitai bdan sirsti sbh dharai aap aapni boojh oocharai,jyqy bdn isRsit sB DwrY ] Awpu AwpnI bUJ aucwrY ]
tum sabh hi tai reht niralm jant baid bhaid ar aalm (14) ,qum sBhI qy rhq inrwlm ] jwnq byd Byd Ar Awlm]14]
nirankar niribkar nirmunbh adi anil anadi asunbh,inrMkwr inRibkwr inrl?B ] Awid AnIl Anwid AsMB ]
ta ka moorh oochrut bhida ja ko bhiv na pavat baida. (15) ,qw kw mUVH aucwrq Bydw ] jw kO Byv n pwvq bydw ]15]
ta ko kar pahn anumant maha moorh kcho bhaid na jant,qw kO kir pwhn Anumwnq ] mhw mUVH kCu Byd n jwnq ]
mahadaiv ko keht sda siv nirankar ka chint neh bhiv. (16) ,mhwdyv kO khq sdw isv ] inrMkwr kw cInq nih iBv]16]
aap aapni budhi hai jaiti barnt bhinun bhinun taiti,Awpu AwpnI buiD hY jyqI ] brnq iBMn iBMn quih qyqI ]
tumra lkha na jaeh psara keh bidhi prthm sunsara. (17) ,qumrw lKw n jwie pswrw ] ikh ibiD sjw pRQm sMswrw]17]
aikai roop anoop sroopa runk bhyo rav kehi bhoopa,eykY rUp AnUp srUpw ] rMk BXo rwv khI BUpw ]
audj jairj saitj kini ootbhuj khani bhor rchi deeni (18) ,AMfj jyrj syqj kInI ] auqBuj Kwin bhur ric dInI]18]
kahoon phool raja hvai baitha kahoon simit bhio sunkr aikaitha,khUM PUl rwjw hÍY bYTw ] khUM ismit iBÎo sMkr iekYTw ]
sgri sirsti dikhaeh achunbhv adi jugadi sroop suyunbhv. (19) ,sgrI isRsit idKwie AcMBv ] Awid jugwid srUp suXMBv]19]
ab rchcha mairi tum kro sikh oobari asikh soghro,Ab r`Cw myrI qum kro ] is`K aubwir Ais`K sMGro ]
dust jitai oothvat ootpata skal mlaich kro run ghata. (20) ,duSt ijqy auTvq auqpwqw ] skl mlyC kro rx Gwqw]20]
jai asidhuj tav sarni parai tin kai dusht dukhit hvai mrai,jy AisDuj qv srnI pry ] iqn ky duSt duiKq hÍY mry ]
purkh jvan pug parai tiharai tin kai tum sunkt sabh tarai. (21) ,purK jvn pg pry iqhwry ] iqn ky qum sMkt sB twry]21]
jo kal ko eik bar dhiaai hai ta kai kal nikti neh aai hai,jo kil ko iek bwr iDAY hY ] qw ky kwl inkit nih AYhY]
rchcha hoeh taeh sabh kala dust arist train tatkala. (22) ,r`Cw hoie qwih sB kwlw ] dust Airst tryN qqkwlw]22]
kirpa diristi tun jaeh nihriho ta kai tap tnak mo herho.,ik®pw idRsit qn jwih inhirho ] qw ky qwp qnk mo hirho]
ridhdhi sidhdhi ghar mo sabh hoei dust chah chvai skai na koei. (23) ,ir`iD is`iD Gr mo sB hoeI ] duSt Cwh CÍY skY n koeI]23]
aik bar jin tumai sunbhara kal phas tai taeh oobara,eyk bwr ijn qumY sMBwrw ] kwl Pws qy qwih aubwrw ]
jin nar nam tiharo kaha darid dust dokh tai raha. (24) ,ijn nr nwm iqhwro khw ] dwird dust doK qy rhw ]24]
kharag kait mai sarni tehari aap hath dai laio oobari,KVg kyq mY srix iqhwrI ] Awp hwQ dY lyhu aubwrI ]
sarb thor mo hohu sahaei dust dokh tai laiho bchaei. (25) ,srb TOr mo hohu shweI ] dust doK qy lyhu bcweI ]25]
Swaiyaa   ,sÍYXw ]
Paahe gahe jab te tumre tab te kou aankh tare nahi aanyo||,pWie ghy jb qy qumry qb qy koaU AWK qry nhIN AwnÎo ]
Raam Raheem Puraan Kuraan aneyk kahai mat eyk na maanyo||,rwm rhIm purwn kurwn Anyk khYN mq eyk n mwnÎo ]
Sinmrit Shaastra Bed sabhai bahu bhed kahai ham ek naa jaanyo||,isMimRiq swsqR byd sBY bhu Byd khYN hm eyk n jwnÎo ]
Sri asipaan kripaa tumri kar mai na kahyo sabh tohe bakhaanyo||863||,sRI Aispwn ik®pw qumrI kir mY n khÎo sB qoih bKwnÎo ]
Dohraa,dohrw ]
Sagal duaar kau chhaad kai gahyo tuhaaro duaar||,sgl duAwr kau Cwif kY gihE quhwro duAwr ]
Bahe gahe ki laaj as Gobind daas tuhaar||864||,bWih ghy kI lwj As goibMd dws quhwr ]
raamkalee mehlaa 3 anand   ,rwmklI mhlw 3 An?
ik-oNkaar satgur parsaad.     ,<> siqgur pRswid ]
anand bha-i-aa mayree maa-ay satguroo mai paa-i-aa.     ,An ?du BieAw myrI mwey siqgurU mY pwieAw ]
satgur ta paa-i-aa sahj saytee man vajee-aa vaaDhaa-ee-aa.     ,siqguru q pwieAw shj syqI min vjIAw vwDweIAw ]
raag ratan parvaar paree-aa sabad gaavan aa-ee-aa.     ,rwg rqn prvwr prIAw sbd gwvx AweIAw ]
sabdo ta gaavhu haree kayraa man jinee vasaa-i-aa.     ,sbdo q gwvhu hrI kyrw min ijnI vswieAw ]
kahai naanak anand ho-aa satguroo mai paa-i-aa. ((1))     ,khY nwnku An?du hoAw siqgurU mY pwieAw ]1]
ay man mayri-aa too sadaa rahu har naalay.     ,ey mn myirAw qU sdw rhu hir nwly ]
har naal rahu too man mayray dookh sabh visaarnaa.     ,hir nwil rhu qU mMn myry dUK siB ivswrxw ]
angeekaar oh karay tayraa kaaraj sabh savaarnaa.     ,AMgIkwru Ehu kry qyrw kwrj siB svwrxw ]
sabhnaa galaa samrath su-aamee so ki-o manhu visaaray.     ,sBnw glw smrQu suAwmI so ikau mnhu ivswry ]
kahai naanak man mayray sadaa rahu har naalay. ((2))     ,khY nwnku mMn myry sdw rhu hir nwly ]2]
saachay saahibaa ki-aa naahee ghar tayrai.     ,swcy swihbw ikAw nwhI Gir qyrY ]
ghar ta tayrai sabh kichh hai jis deh so paav-ay.     ,Gir q qyrY sBu ikCu hY ijsu dyih su pwvey ]
sadaa sifat salaah tayree naam man vasaava-ay.     ,sdw isPiq slwh qyrI nwmu min vswvey ]
naam jin kai man vasi-aa vaajay sabad ghanayray.     ,nwmu ijn kY min visAw vwjy sbd Gnyry ]
kahai naanak sachay saahib ki-aa naahee ghar tayrai. ((3))     ,khY nwnku scy swihb ikAw nwhI Gir qyrY ]3]
saachaa naam mayraa aaDhaaro.     ,swcw nwmu myrw AwDwro ]
saach naam aDhaar mayraa jin bhukhaa sabh gavaa-ee-aa.     ,swcu nwmu ADwru myrw ijin BuKw siB gvweIAw ]
kar saaNt sukh man aa-ay vasi-aa jin ichhaa sabh pujaa-ee-aa.     ,kir sWiq suK min Awie visAw ijin ieCw siB pujweIAw]
